學年度,縣市別,學校名稱,運動種類,男性名額,女性名額,不分性別名額
103,高雄市,高雄市立瑞祥高中,排球,14,0,-
103,高雄市,高雄市立瑞祥高中,體操,5,5,-
103,高雄市,高雄市立小港高中,空手道,8,0,-
103,高雄市,高雄市立小港高中,籃球,0,8,-
103,高雄市,高雄市立小港高中,撞球,8,0,-
103,高雄市,高雄市立小港高中,直排輪曲棍球,8,0,-
103,高雄市,高雄市立小港高中,拳擊,8,0,-
103,基隆市,國立基隆女子高級中學,田徑,0,10,-
103,基隆市,國立基隆女子高級中學,跆拳道,0,10,-
103,基隆市,國立基隆女子高級中學,排球,0,10,-
103,基隆市,國立基隆高級中學,羽球,10,0,-
103,基隆市,國立基隆高級中學,西式划船,8,2,-
103,基隆市,國立基隆高級中學,輕艇,6,4,-
103,基隆市,國立基隆高級商工職業學校,排球,7,7,-
103,基隆市,國立基隆高級商工職業學校,籃球,8,8,-
103,基隆市,基隆市立安樂高級中學,籃球,8,8,-
103,基隆市,基隆市立安樂高級中學,排球,0,8,-
103,基隆市,基隆市立安樂高級中學,柔道,6,0,-
103,基隆市,基隆市立暖暖高級中學,拔河,10,7,-
103,基隆市,基隆市立暖暖高級中學,游泳,5,0,-
103,基隆市,基隆市立暖暖高級中學,手球,0,8,-
103,基隆市,基隆市立中山高中,田徑,14,0,-
103,基隆市,基隆市立中山高中,跆拳道,10,0,-
103,基隆市,基隆市立中山高中,劍道,6,0,-
103,桃園縣,國立桃園高級中學,田徑,20,0,-
103,桃園縣,國立桃園高級中學,游泳,10,0,-
103,桃園縣,國立桃園高級農工職業學校,田徑,4,6,-
103,桃園縣,國立桃園高級農工職業學校,跆拳道,7,3,-
103,桃園縣,國立桃園高級農工職業學校,棒球,10,0,-
103,桃園縣,桃園縣立壽山高級中學,籃球,0,10,-
103,桃園縣,桃園縣立壽山高級中學,棒球,15,0,-
103,桃園縣,桃園縣立壽山高級中學,柔道,8,2,-
103,桃園縣,桃園縣立壽山高級中學,桌球,8,0,-
103,桃園縣,桃園縣立壽山高級中學,拔河,10,3,-
103,桃園縣,桃園縣立壽山高級中學,舉重,4,0,-
103,桃園縣,桃園縣立南崁高級中學,女壘,0,7,-
103,桃園縣,桃園縣立南崁高級中學,手球,0,7,-
103,桃園縣,桃園縣立南崁高級中學,射擊,3,4,-
103,桃園縣,桃園縣立南崁高級中學,合球,4,5,-
103,桃園縣,桃園縣立永豐高級中學,射箭,5,7,-
103,桃園縣,桃園縣立永豐高級中學,擊劍,6,5,-
103,桃園縣,桃園縣立永豐高級中學,劍道,4,3,-
103,桃園縣,桃園縣立平鎮高級中學,跆拳道,12,0,-
103,桃園縣,桃園縣立平鎮高級中學,武術,6,0,-
103,桃園縣,桃園縣立平鎮高級中學,田徑,7,0,-
103,桃園縣,桃園縣立平鎮高級中學,射擊,2,0,-
103,桃園縣,桃園縣立平鎮高級中學,射箭,3,0,-
103,桃園縣,桃園縣立平鎮高級中學,棒球,30,0,-
103,新竹縣,國立竹北高級中等學校,游泳,6,2,-
103,新竹縣,國立竹北高級中等學校,射箭,12,3,-
103,新竹縣,國立竹北高級中等學校,高爾夫,4,3,-
103,新竹縣,新竹縣立湖口高級中學,射箭,5,5,-
103,新竹縣,新竹縣立湖口高級中學,跆拳道,5,5,-
103,新竹縣,新竹縣立湖口高級中學,田徑,5,5,-
103,新竹市,新竹市立成德高級中學,田徑,20,10,-
103,新竹市,新竹市立成德高級中學,拳擊,7,3,-
103,新竹市,新竹市立成德高級中學,棒球,20,0,-
103,新竹市,新竹市立香山高級中學,射箭,0,3,-
103,新竹市,新竹市立香山高級中學,桌球,10,5,-
103,新竹市,新竹市立香山高級中學,手球,7,0,-
103,新竹市,新竹市立香山高級中學,橄欖球,15,0,-
103,苗栗縣,苗栗縣立苑裡高級中學,田徑,16,0,-
103,苗栗縣,苗栗縣立苑裡高級中學,排球,6,0,-
103,苗栗縣,苗栗縣立苑裡高級中學,武術,18,0,-
103,彰化縣,國立二林高級工商職業學校,拳擊,8,2,-
103,彰化縣,國立二林高級工商職業學校,舉重,6,4,-
103,彰化縣,國立二林高級工商職業學校,田徑,6,0,-
103,彰化縣,國立二林高級工商職業學校,武術,3,1,-
103,彰化縣,國立員林高級農工職業學校,田徑,10,5,-
103,彰化縣,國立員林高級農工職業學校,跆拳道,11,4,-
103,彰化縣,國立員林崇實高級工業職業學校,田徑,5,5,-
103,彰化縣,國立員林崇實高級工業職業學校,跆拳道,5,5,-
103,彰化縣,國立員林崇實高級工業職業學校,羽球,5,5,-
103,彰化縣,國立和美實驗學校,柔道,6,4,-
103,彰化縣,國立和美實驗學校,桌球,4,6,-
103,彰化縣,國立和美實驗學校,跆拳道,6,4,-
